num.new.disc_00,num.new.disc_01,num.new.disc_02,num.new.disc_03,num.new.disc_04,num.new.disc_05,num.new.disc_06,num.new.disc_07,burstiness_00,burstiness_01,burstiness_02,burstiness_03,burstiness_04,burstiness_05,burstiness_06,burstiness_07,number.total.disc_00,number.total.disc_01,number.total.disc_02,number.total.disc_03,number.total.disc_04,number.total.disc_05,number.total.disc_06,number.total.disc_07,auth.increase_00,auth.increase_01,auth.increase_02,auth.increase_03,auth.increase_04,auth.increase_05,auth.increase_06,auth.increase_07,atomic.containers_00,atomic.containers_01,atomic.containers_02,atomic.containers_03,atomic.containers_04,atomic.containers_05,atomic.containers_06,atomic.containers_07,num.displays_00,num.displays_01,num.displays_02,num.displays_03,num.displays_04,num.displays_05,num.displays_06,num.displays_07,contribution.sparseness_00,contribution.sparseness_01,contribution.sparseness_02,contribution.sparseness_03,contribution.sparseness_04,contribution.sparseness_05,contribution.sparseness_06,contribution.sparseness_07,avg.auths.per.disc_00,avg.auths.per.disc_01,avg.auths.per.disc_02,avg.auths.per.disc_03,avg.auths.per.disc_04,avg.auths.per.disc_05,avg.auths.per.disc_06,avg.auths.per.disc_07,num.authors.topic_00,num.authors.topic_01,num.authors.topic_02,num.authors.topic_03,num.authors.topic_04,num.authors.topic_05,num.authors.topic_06,num.authors.topic_07,avg.disc.length_00,avg.disc.length_01,avg.disc.length_02,avg.disc.length_03,avg.disc.length_04,avg.disc.length_05,avg.disc.length_06,avg.disc.length_07,attention.level.author_00,attention.level.author_01,attention.level.author_02,attention.level.author_03,attention.level.author_04,attention.level.author_05,attention.level.author_06,attention.level.author_07,attention.level.contrib_00,attention.level.contrib_01,attention.level.contrib_02,attention.level.contrib_03,attention.level.contrib_04,attention.level.contrib_05,attention.level.contrib_06,attention.level.contrib_07,buzz
2,0,0,2,1,3,1,2,0.666667,0,0,0.666667,0.25,1,0.25,0.666667,3,2,1,3,4,3,4,3,3,1,0,3,3,3,2,3,18,13,5,12,19,21,17,22,4334,3109,2754,3059,3936,4288,4464,4266,0.004418,0.004338,0.002028,0.006961,0.011594,0.008746,0.011364,0.008696,2.666667,4.5,6,2.666667,3,2.333333,3.75,2.333333,5,7,2,5,8,7,8,6,6.666667,11,16,5.666667,9.5,7,14.5,10,0.003259,0.004828,0.001515,0.003143,0.004843,0.005029,0.006695,0.005029,0.003183,0.002096,0.000926,0.001804,0.00259,0.003412,0.002787,0.003452,1
7,3,6,9,4,14,6,7,0.4375,0.375,0.75,0.5,0.285714,0.7,0.428571,0.538462,16,8,8,18,14,20,14,13,8,5,8,13,6,16,5,11,79,33,98,285,169,307,288,176,10462,10050,9614,14199,11849,14695,12188,11282,0.006475,0.003042,0.002959,0.005538,0.005335,0.006122,0.005447,0.004577,4.3125,4.5,8.375,7.111111,5.785714,4.9,6.285714,5.307693,30,14,24,41,27,45,32,29,21.5625,20.75,41.625,36.833332,44.642857,30,50.785713,42.692307,0.011261,0.005358,0.00949,0.018645,0.012346,0.018496,0.013623,0.012023,0.004749,0.001986,0.005969,0.019522,0.01163,0.020556,0.019016,0.012404,1
2,2,3,6,5,3,7,3,0.133333,0.222222,0.25,0.375,0.416667,0.214286,0.538462,0.230769,15,9,12,16,12,14,13,13,6,6,8,19,12,8,16,7,103,123,73,180,102,171,181,150,22529,23941,23318,29699,26319,28163,32959,30799,0.004829,0.002658,0.003359,0.004022,0.003013,0.00355,0.003252,0.003351,7,7.666667,6.583333,6.75,7.166667,6.571429,6.461538,7.153846,31,22,22,46,24,28,37,21,43.799999,45.888889,41.75,33.3125,21.833334,36.857143,24,31.692308,0.013197,0.009121,0.007954,0.017471,0.010743,0.011213,0.015812,0.008951,0.006801,0.008669,0.005023,0.011596,0.007347,0.012289,0.012821,0.010821,1
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.5,1,0,0,0,0,1,0,2,1,0,0,0,0,1,0,3,1,0,0,0,0,2,0,13,45,1281,900,627,760,646,1015,1188,1063,0,0,0,0,0.009709,0,0.01005,0.007407,0,0,0,0,3,0,16.5,2,0,0,0,0,1,0,5,2,0,0,0,0,8,0,55.5,45,0,0,0,0,0.000758,0,0.003027,0.001437,0,0,0,0,0.00037,0,0.001772,0.007311,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,6,0,0,2,0,0,0,0,2404,1954,2035,2308,3001,2723,2759,3183,0.004184,0,0,0.004556,0,0,0,0,33.5,0,0,33.5,0,0,0,0,3,0,0,2,0,0,0,0,52.5,0,0,57,0,0,0,0,0.001233,0,0,0.000723,0,0,0,0,0.000402,0,0,0.000138,0,0,0,0,1
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,3,48,24,0,0,0,0,0,4,1109,1101,1089,1158,1372,2047,1662,966,0.019231,0.020408,0,0,0,0,0,0.040816,2,3,0,0,0,0,0,10,2,3,0,0,0,0,0,3,48,72,0,0,0,0,0,29,0.000779,0.000931,0,0,0,0,0,0.001065,0.002367,0.001114,0,0,0,0,0,0.000203,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,68,84,85,93,85,74,114,94,0,0.5,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0.000801,0,0,0,0,0,0,0,0.000144,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,4,0,0,3,1,0,4,0,7,0,0,4,58,12,11,0,17,2538,2668,2601,16659,17008,3051,2518,2394,0,0,0.005051,0.005128,0.005291,0.005236,0,0.020725,0,0,37,3,3,41,0,20.75,0,0,4,3,2,5,0,8,0,0,49,58,70,60,0,49,0,0,0.001355,0.00099,0.000688,0.001814,0,0.002839,0,0,0.000181,0.002831,0.000617,0.000581,0,0.000863,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,10,15,8,4,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,2,0,0,0,1,1,2,0,3,0,0,0,1,1,6,0,1888,1722,1779,1472,1901,1919,2569,2273,0.002703,0,0,0,0.003145,0.002941,0.002703,0,4,0,0,0,1,2,3,0,3,0,0,0,1,1,3,0,7,0,0,0,1,2,6,0,0.001364,0,0,0,0.000415,0.000362,0.001139,0,0.000205,0,0,0,7e-05,6.9e-05,0.000387,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,13,19,18,14,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,3,1,3,4,2,0,0.25,0,0.75,0.166667,0.5,0.571429,0.5,0,4,3,4,6,6,7,4,1,4,1,4,3,4,5,3,0,84,83,51,75,26,85,14,3,4954,4579,4573,5895,5277,6051,6373,6030,0.005457,0.003676,0.00451,0.006336,0.006316,0.007415,0.004193,0.001053,3.75,5.333333,4.5,4.333333,3.666667,3.857143,3.75,6,8,8,12,11,10,12,8,2,23,87.666664,37.25,41.5,22.666666,20.285715,14.25,41,0.003406,0.003317,0.004338,0.004178,0.004476,0.004806,0.003419,0.000853,0.005546,0.00585,0.003509,0.004832,0.001873,0.006109,0.000992,0.000216,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,4,0,0,0,0,2,0,1464,1210,847,1034,947,1211,1419,1772,0,0.007874,0,0,0,0,0.007042,0,0,2,0,0,0,0,27,0,0,2,0,0,0,0,1,0,0,4,0,0,0,0,68,0,0,0.001309,0,0,0,0,0.000605,0,0,0.000641,0,0,0,0,0.000273,0,0
2,1,0,1,2,1,0,0,1,0.333333,0,0.5,0.5,1,0,0,2,3,2,2,4,1,1,2,4,2,1,5,4,3,1,2,18,6,2,13,14,13,3,3,751,1037,896,1018,789,903,923,1348,0.012739,0.010033,0.011696,0.006689,0.02439,0.004237,0.003953,0.006601,7.5,6.666667,3,7.5,6.25,11,9,12.5,15,5,2,11,10,11,3,3,9,9,7,9.5,7.25,13,12,17,0.005931,0.002274,0.000914,0.004521,0.004257,0.004561,0.001085,0.001139,0.001096,0.000411,0.000138,0.00087,0.000924,0.000916,0.000206,0.000193,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,11,6,7,7,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,16,6,226,183,197,152,131,129,267,203,0,0,0,0,0,0,0.021277,0.025641,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,16,6,0,0,0,0,0,0,0.001819,0.001829,0,0,0,0,0,0,0.001096,0.000413,0
7,7,1,6,3,8,4,3,0.7,0.538462,0.333333,0.75,0.214286,0.533333,0.5,0.375,10,13,3,8,14,15,8,8,12,7,2,9,10,13,7,5,76,138,31,44,82,82,86,69,15627,15501,11188,16762,14949,17177,17361,125382,0.00597,0.007382,0.001121,0.004469,0.00585,0.007267,0.004086,0.004608,2.9,6.307693,6.666667,2.375,5.142857,2.866667,3.75,2.75,23,28,6,16,23,29,15,12,9.5,29.384615,26,7.5,17.285715,12.4,29.625,18,0.008162,0.009746,0.00208,0.005598,0.008413,0.010383,0.005699,0.00476,0.00386,0.006038,0.001245,0.00228,0.003832,0.004762,0.005275,0.004227,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,98,84,110,111,126,119,99,259,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.0014,0,0,0,0,0,0,0,0.000207,0
1,3,6,2,2,4,4,1,0.25,1,0.75,0.333333,0.25,0.571429,0.8,0.166667,4,3,8,6,8,7,5,6,3,7,12,7,13,9,4,4,9,26,77,48,84,44,55,10,5847,5440,6944,8613,7276,7661,7383,6940,0.003738,0.00277,0.008368,0.007916,0.011065,0.009498,0.00664,0.008086,13.25,6.666667,5.75,5.166667,7.125,6.714286,4,9.666667,7,20,24,15,28,18,14,7,37,8.666667,12.375,14.833333,24,21.428572,15.2,27,0.004828,0.015152,0.015085,0.00908,0.020115,0.015063,0.011735,0.005174,0.001451,0.004816,0.011575,0.006543,0.013647,0.007213,0.008629,0.001656,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,261,302,244,257,274,373,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,3,2,0,1,1,4,1,0,3,2,0,1,5,18,3,0,9,6,0,1,244,362,414,411,406,348,310,387,0.025,0.038462,0.046512,0,0.085714,0.068966,0,0.041667,32,36,26,0,29,25,0,39,4,11,3,0,6,3,0,1,82,100,63.5,0,61.333332,64,0,114,0.001386,0.003849,0.001097,0,0.00228,0.00119,0,0.000383,0.000201,0.000933,0.00014,0,0.000552,0.000368,0,6e-05,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,45,46,39,34,60,56,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,254,321,235,203,237,362,293,314,0,0,0,0,0,0.047619,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.000605,0,0,0,0,0,0,0,0.000136,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,3,3,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,18,24,19,20,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,3,5,1,8,4,4,0.666667,0.375,0.375,0.357143,0.090909,0.571429,0.333333,0.4,3,8,8,14,11,14,12,10,1,3,8,7,4,10,3,5,25,153,230,172,190,129,147,77,8991,9159,11212,10189,12406,11204,11103,13247,0.001855,0.00614,0.00551,0.009211,0.00672,0.0085,0.007353,0.006046,4,5.875,7,6.5,5.636364,7.571429,7.25,4.3,8,17,22,28,16,23,19,18,11.333333,52.25,54.25,40.857143,44.18182,30,45.333332,21.700001,0.003288,0.007237,0.009121,0.010123,0.006077,0.010295,0.007609,0.007692,0.001674,0.010102,0.01621,0.011835,0.01224,0.009292,0.010564,0.005454,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,4,4,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1234,707,556,724,587,952,1224,1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,33,31,88,36,55,33,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,5,2,5,6,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,0,3,0,2,4,1,0.285714,0.285714,0,0.375,0,0.2,0.363636,0.142857,7,14,5,8,11,10,11,7,8,21,3,9,10,12,10,2,47,87,11,41,56,61,216,137,10749,12114,10290,13111,16435,13147,14713,13296,0.005339,0.010294,0.003897,0.006275,0.003761,0.005593,0.007824,0.005243,20.142857,18.5,28.4,13.375,20.545454,15.2,13.909091,7,20,39,6,13,21,31,42,15,53.857143,42.92857,47.799999,43,46.727272,49.299999,64.909088,62.142857,0.013038,0.026897,0.004545,0.008171,0.012712,0.02227,0.035146,0.012573,0.008311,0.014025,0.002037,0.006164,0.007634,0.009911,0.03541,0.021494,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,115,148,113,99,138,164,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,76,63,97,166,116,102,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,28,47,31,39,34,46,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,2,5,1,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,4,12,5,10,11,8,0.2,0.416667,0.333333,0.521739,0.263158,0.526316,0.458333,0.380952,10,12,12,23,19,19,24,21,11,5,17,22,10,13,12,11,208,93,259,238,299,215,290,226,15894,13256,14636,15393,18531,17105,18061,21498,0.003436,0.005119,0.004751,0.008428,0.006445,0.006425,0.008163,0.007049,9,8.5,7.916667,6.478261,6.789474,8.947369,7.125,6.047619,31,24,45,57,36,41,47,32,50.700001,55.25,46.75,29.73913,32.842106,32.157894,34.375,24.809525,0.012741,0.010217,0.018657,0.020607,0.013673,0.018353,0.018823,0.013675,0.013927,0.006141,0.018254,0.016377,0.019262,0.015487,0.020841,0.016009,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,951,1657,1493,1926,1657,1643,1850,2212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,8,2,4,4,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,0,1,0,1,0,0,1,0.333333,0,0.5,0,0.5,0,1,2,3,3,2,2,2,2,1,3,2,1,1,1,1,0,1,42,60,40,34,25,27,24,7412,6137,6489,6245,6238,6312,7844,8697,0.000776,0.001828,0.002778,0.002639,0.001848,0.001833,0.001405,0.000855,3,2,2,4.666667,2,2,2,2,1,4,5,6,3,3,4,4,3,21,33.333332,50,53,28.5,22,34,0.000441,0.001663,0.002062,0.002832,0.001398,0.001384,0.001985,0.00226,7.3e-05,0.003063,0.004205,0.003116,0.002474,0.001718,0.002194,0.002075,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,11,4,0,0,0,1,0,2,1417,1342,1558,1865,1939,1888,1707,1671,0.083333,0.083333,0,0,0,0.071429,0,0.071429,4,4,0,0,0,26,0,15,2,2,0,0,0,1,0,1,125,129,0,0,0,63,0,40,0.000831,0.000825,0,0,0,0.000496,0,0.000594,0.000802,0.00028,0,0,0,8.1e-05,0,0.000224,0
