left daughter	right daughter	split var	split point	status	prediction	nodeid	treeid
92	93	attention.level.contrib_00	0.0576685	1	NA	80	2
0	0	NA	0	-1	1	81	2
94	95	num.new.disc_04	45.5	1	NA	82	2
0	0	NA	0	-1	1	83	2
96	97	num.displays_05	789	1	NA	84	2
98	99	num.displays_05	397.5	1	NA	85	2
0	0	NA	0	-1	0	86	2
0	0	NA	0	-1	0	87	2
0	0	NA	0	-1	0	88	2
0	0	NA	0	-1	0	89	2
0	0	NA	0	-1	0	90	2
0	0	NA	0	-1	0	91	2
0	0	NA	0	-1	1	92	2
0	0	NA	0	-1	1	93	2
0	0	NA	0	-1	1	94	2
0	0	NA	0	-1	1	95	2
0	0	NA	0	-1	0	96	2
0	0	NA	0	-1	0	97	2
0	0	NA	0	-1	0	98	2
0	0	NA	0	-1	0	99	2
2	3	attention.level.contrib_02	0.000643	1	NA	1	3
4	5	attention.level.author_00	0.0004515	1	NA	2	3
6	7	attention.level.author_03	0.003715	1	NA	3	3
8	9	num.displays_06	2028	1	NA	4	3
10	11	contribution.sparseness_00	0.0048425	1	NA	5	3
12	13	attention.level.author_04	0.001206	1	NA	6	3
14	15	num.new.disc_07	4.5	1	NA	7	3
16	17	number.total.disc_07	3.5	1	NA	8	3
18	19	num.displays_07	3409.5	1	NA	9	3
0	0	NA	0	-1	1	10	3
20	21	contribution.sparseness_05	0.0004345	1	NA	11	3
22	23	num.displays_00	1410.5	1	NA	12	3
24	25	num.displays_01	1929	1	NA	13	3
26	27	num.displays_05	3167.5	1	NA	14	3
28	29	contribution.sparseness_02	0.0246995	1	NA	15	3
30	31	attention.level.contrib_07	0.0163355	1	NA	16	3
0	0	NA	0	-1	0	17	3
0	0	NA	0	-1	0	18	3
0	0	NA	0	-1	1	19	3
32	33	num.displays_04	971	1	NA	20	3
34	35	contribution.sparseness_03	0.051316	1	NA	21	3
36	37	attention.level.author_05	0.006003	1	NA	22	3
0	0	NA	0	-1	0	23	3
0	0	NA	0	-1	0	24	3
38	39	avg.auths.per.disc_04	4.3666665	1	NA	25	3
0	0	NA	0	-1	0	26	3
40	41	num.new.disc_01	2.5	1	NA	27	3
42	43	avg.auths.per.disc_06	2.8603895	1	NA	28	3
0	0	NA	0	-1	1	29	3
44	45	num.displays_06	1226	1	NA	30	3
0	0	NA	0	-1	1	31	3
46	47	atomic.containers_07	129	1	NA	32	3
0	0	NA	0	-1	0	33	3
48	49	attention.level.contrib_02	9.35e-05	1	NA	34	3
0	0	NA	0	-1	0	35	3
50	51	atomic.containers_07	52.5	1	NA	36	3
0	0	NA	0	-1	0	37	3
0	0	NA	0	-1	1	38	3
0	0	NA	0	-1	1	39	3
52	53	atomic.containers_05	1.5	1	NA	40	3
54	55	attention.level.author_07	0.0078545	1	NA	41	3
0	0	NA	0	-1	1	42	3
56	57	avg.auths.per.disc_02	28.583333	1	NA	43	3
58	59	num.displays_05	1455.5	1	NA	44	3
60	61	num.displays_03	938	1	NA	45	3
62	63	atomic.containers_01	2.5	1	NA	46	3
0	0	NA	0	-1	1	47	3
64	65	num.displays_03	1984.5	1	NA	48	3
66	67	num.displays_00	1157	1	NA	49	3
68	69	number.total.disc_01	3.5	1	NA	50	3
0	0	NA	0	-1	0	51	3
0	0	NA	0	-1	1	52	3
70	71	num.authors.topic_07	35	1	NA	53	3
0	0	NA	0	-1	1	54	3
0	0	NA	0	-1	1	55	3
72	73	burstiness_06	0.1514285	1	NA	56	3
0	0	NA	0	-1	0	57	3
74	75	num.displays_04	901.5	1	NA	58	3
0	0	NA	0	-1	1	59	3
0	0	NA	0	-1	0	60	3
76	77	burstiness_07	0.5833335	1	NA	61	3
0	0	NA	0	-1	0	62	3
0	0	NA	0	-1	0	63	3
78	79	num.displays_06	1228.5	1	NA	64	3
0	0	NA	0	-1	1	65	3
0	0	NA	0	-1	0	66	3
0	0	NA	0	-1	1	67	3
80	81	num.new.disc_02	1.5	1	NA	68	3
0	0	NA	0	-1	1	69	3
82	83	num.displays_04	2336.5	1	NA	70	3
0	0	NA	0	-1	0	71	3
0	0	NA	0	-1	1	72	3
84	85	avg.auths.per.disc_05	3.303846	1	NA	73	3
86	87	auth.increase_01	6.5	1	NA	74	3
0	0	NA	0	-1	0	75	3
88	89	num.displays_01	491	1	NA	76	3
0	0	NA	0	-1	0	77	3
0	0	NA	0	-1	0	78	3
0	0	NA	0	-1	0	79	3
0	0	NA	0	-1	0	80	3
0	0	NA	0	-1	0	81	3
0	0	NA	0	-1	0	82	3
90	91	num.new.disc_02	2.5	1	NA	83	3
0	0	NA	0	-1	0	84	3
92	93	num.displays_06	165458.5	1	NA	85	3
94	95	avg.auths.per.disc_03	2.75	1	NA	86	3
0	0	NA	0	-1	0	87	3
0	0	NA	0	-1	1	88	3
96	97	num.displays_02	875	1	NA	89	3
0	0	NA	0	-1	1	90	3
0	0	NA	0	-1	1	91	3
98	99	atomic.containers_07	310.5	1	NA	92	3
0	0	NA	0	-1	1	93	3
0	0	NA	0	-1	0	94	3
0	0	NA	0	-1	0	95	3
0	0	NA	0	-1	1	96	3
0	0	NA	0	-1	0	97	3
0	0	NA	0	-1	1	98	3
0	0	NA	0	-1	1	99	3
2	3	num.displays_07	1930	1	NA	1	4
4	5	num.displays_06	1214.5	1	NA	2	4
6	7	attention.level.author_07	0.0051655	1	NA	3	4
8	9	avg.disc.length_00	10.95	1	NA	4	4
10	11	num.authors.topic_04	8.5	1	NA	5	4
12	13	num.displays_03	1970	1	NA	6	4
14	15	num.displays_02	2683.5	1	NA	7	4
16	17	num.displays_03	695.5	1	NA	8	4
18	19	attention.level.contrib_00	0.002052	1	NA	9	4
20	21	num.displays_03	1270.5	1	NA	10	4
0	0	NA	0	-1	0	11	4
22	23	avg.auths.per.disc_05	6.0833335	1	NA	12	4
24	25	avg.auths.per.disc_06	8.464286	1	NA	13	4
0	0	NA	0	-1	1	14	4
26	27	auth.increase_05	9.5	1	NA	15	4
28	29	num.displays_00	417.5	1	NA	16	4
30	31	attention.level.contrib_03	0.00015	1	NA	17	4
32	33	num.new.disc_07	4.5	1	NA	18	4
0	0	NA	0	-1	0	19	4
34	35	avg.disc.length_02	94.5	1	NA	20	4
36	37	attention.level.author_01	0.0014565	1	NA	21	4
38	39	num.displays_01	633	1	NA	22	4
0	0	NA	0	-1	1	23	4
40	41	num.displays_03	12194.5	1	NA	24	4
42	43	num.displays_07	3364.5	1	NA	25	4
44	45	attention.level.author_06	0.0061465	1	NA	26	4
46	47	burstiness_06	0.820635	1	NA	27	4
48	49	num.displays_07	499.5	1	NA	28	4
50	51	attention.level.author_00	0.0032135	1	NA	29	4
52	53	attention.level.author_01	0.0035035	1	NA	30	4
0	0	NA	0	-1	0	31	4
54	55	avg.disc.length_05	110.5	1	NA	32	4
0	0	NA	0	-1	0	33	4
56	57	avg.auths.per.disc_00	23.75	1	NA	34	4
0	0	NA	0	-1	1	35	4
0	0	NA	0	-1	0	36	4
0	0	NA	0	-1	0	37	4
0	0	NA	0	-1	1	38	4
58	59	avg.auths.per.disc_06	3.1666665	1	NA	39	4
60	61	burstiness_03	0.472222	1	NA	40	4
0	0	NA	0	-1	0	41	4
0	0	NA	0	-1	0	42	4
62	63	avg.auths.per.disc_02	7.2666665	1	NA	43	4
64	65	contribution.sparseness_06	0.0462825	1	NA	44	4
66	67	number.total.disc_03	1.5	1	NA	45	4
68	69	contribution.sparseness_07	0.001748	1	NA	46	4
0	0	NA	0	-1	0	47	4
70	71	num.new.disc_01	0.5	1	NA	48	4
72	73	num.displays_02	67	1	NA	49	4
74	75	attention.level.author_02	0.002138	1	NA	50	4
0	0	NA	0	-1	1	51	4
76	77	num.displays_05	997.5	1	NA	52	4
0	0	NA	0	-1	0	53	4
78	79	attention.level.contrib_05	0.001613	1	NA	54	4
0	0	NA	0	-1	0	55	4
80	81	num.displays_06	1234.5	1	NA	56	4
0	0	NA	0	-1	0	57	4
0	0	NA	0	-1	0	58	4
0	0	NA	0	-1	1	59	4
82	83	num.authors.topic_05	14.5	1	NA	60	4
84	85	avg.auths.per.disc_03	4.6904765	1	NA	61	4
0	0	NA	0	-1	1	62	4
0	0	NA	0	-1	1	63	4
86	87	burstiness_07	0.7416665	1	NA	64	4
0	0	NA	0	-1	0	65	4
0	0	NA	0	-1	0	66	4
88	89	attention.level.author_06	0.0073785	1	NA	67	4
0	0	NA	0	-1	0	68	4
90	91	attention.level.contrib_06	0.005563	1	NA	69	4
92	93	attention.level.contrib_07	0.002036	1	NA	70	4
0	0	NA	0	-1	0	71	4
0	0	NA	0	-1	1	72	4
0	0	NA	0	-1	0	73	4
94	95	num.displays_06	286.5	1	NA	74	4
0	0	NA	0	-1	0	75	4
0	0	NA	0	-1	0	76	4
0	0	NA	0	-1	0	77	4
96	97	num.displays_06	61.5	1	NA	78	4
0	0	NA	0	-1	0	79	4
0	0	NA	0	-1	1	80	4
98	99	num.displays_00	1613	1	NA	81	4
0	0	NA	0	-1	1	82	4
0	0	NA	0	-1	0	83	4
0	0	NA	0	-1	0	84	4
0	0	NA	0	-1	1	85	4
0	0	NA	0	-1	1	86	4
0	0	NA	0	-1	1	87	4
0	0	NA	0	-1	1	88	4
0	0	NA	0	-1	1	89	4
0	0	NA	0	-1	1	90	4
0	0	NA	0	-1	1	91	4
0	0	NA	0	-1	0	92	4
0	0	NA	0	-1	0	93	4
0	0	NA	0	-1	1	94	4
0	0	NA	0	-1	0	95	4
0	0	NA	0	-1	0	96	4
0	0	NA	0	-1	0	97	4
0	0	NA	0	-1	0	98	4
0	0	NA	0	-1	1	99	4
2	3	num.displays_06	2304	1	NA	1	5
4	5	number.total.disc_05	2.5	1	NA	2	5
6	7	num.displays_00	4184	1	NA	3	5
8	9	num.displays_04	991.5	1	NA	4	5
10	11	num.displays_06	1366	1	NA	5	5
12	13	avg.auths.per.disc_04	4.55	1	NA	6	5
14	15	attention.level.author_05	0.007947	1	NA	7	5
16	17	num.displays_06	975.5	1	NA	8	5
18	19	attention.level.author_07	0.009628	1	NA	9	5
0	0	NA	0	-1	0	10	5
0	0	NA	0	-1	0	11	5
20	21	num.displays_04	5057.5	1	NA	12	5
22	23	contribution.sparseness_06	0.0377495	1	NA	13	5
24	25	num.new.disc_05	0.5	1	NA	14	5
26	27	attention.level.contrib_07	0.000926	1	NA	15	5
28	29	num.authors.topic_07	32	1	NA	16	5
30	31	num.authors.topic_00	15	1	NA	17	5
32	33	num.displays_06	1342.5	1	NA	18	5
0	0	NA	0	-1	1	19	5
34	35	avg.auths.per.disc_05	3.8333335	1	NA	20	5
0	0	NA	0	-1	0	21	5
36	37	num.displays_04	7579	1	NA	22	5
0	0	NA	0	-1	0	23	5
0	0	NA	0	-1	1	24	5
38	39	contribution.sparseness_03	0.0046605	1	NA	25	5
0	0	NA	0	-1	1	26	5
40	41	number.total.disc_06	58.5	1	NA	27	5
42	43	num.displays_07	1445.5	1	NA	28	5
0	0	NA	0	-1	1	29	5
44	45	avg.auths.per.disc_07	25.25	1	NA	30	5
0	0	NA	0	-1	1	31	5
46	47	auth.increase_05	2.5	1	NA	32	5
48	49	num.displays_07	1649	1	NA	33	5
50	51	attention.level.contrib_05	0.000765	1	NA	34	5
0	0	NA	0	-1	1	35	5
52	53	avg.disc.length_03	36.619049	1	NA	36	5
0	0	NA	0	-1	0	37	5
0	0	NA	0	-1	1	38	5
54	55	num.displays_02	5277.5	1	NA	39	5
56	57	attention.level.author_07	0.002445	1	NA	40	5
0	0	NA	0	-1	1	41	5
58	59	contribution.sparseness_00	0.013987	1	NA	42	5
0	0	NA	0	-1	0	43	5
60	61	num.new.disc_02	2.5	1	NA	44	5
0	0	NA	0	-1	0	45	5
62	63	attention.level.contrib_02	0.000634	1	NA	46	5
0	0	NA	0	-1	0	47	5
0	0	NA	0	-1	0	48	5
64	65	num.displays_07	1668	1	NA	49	5
66	67	attention.level.contrib_00	0.0011045	1	NA	50	5
0	0	NA	0	-1	0	51	5
68	69	attention.level.author_01	0.001475	1	NA	52	5
0	0	NA	0	-1	1	53	5
0	0	NA	0	-1	1	54	5
0	0	NA	0	-1	1	55	5
0	0	NA	0	-1	0	56	5
70	71	num.displays_07	143815	1	NA	57	5
72	73	num.authors.topic_02	5.5	1	NA	58	5
74	75	num.displays_06	407.5	1	NA	59	5
76	77	num.displays_00	994.5	1	NA	60	5
0	0	NA	0	-1	1	61	5
78	79	number.total.disc_00	2.5	1	NA	62	5
0	0	NA	0	-1	0	63	5
0	0	NA	0	-1	1	64	5
80	81	num.displays_06	1469.5	1	NA	65	5
0	0	NA	0	-1	1	66	5
0	0	NA	0	-1	0	67	5
0	0	NA	0	-1	1	68	5
0	0	NA	0	-1	1	69	5
82	83	attention.level.contrib_03	0.000582	1	NA	70	5
0	0	NA	0	-1	0	71	5
84	85	burstiness_01	0.8333335	1	NA	72	5
0	0	NA	0	-1	0	73	5
86	87	contribution.sparseness_03	0.080128	1	NA	74	5
88	89	attention.level.contrib_05	9.6e-05	1	NA	75	5
0	0	NA	0	-1	0	76	5
0	0	NA	0	-1	0	77	5
90	91	avg.auths.per.disc_03	18	1	NA	78	5
0	0	NA	0	-1	0	79	5
0	0	NA	0	-1	1	80	5
92	93	contribution.sparseness_02	0.032402	1	NA	81	5
0	0	NA	0	-1	0	82	5
94	95	avg.disc.length_07	72.375	1	NA	83	5
96	97	num.displays_04	913	1	NA	84	5
0	0	NA	0	-1	0	85	5
0	0	NA	0	-1	0	86	5
0	0	NA	0	-1	0	87	5
0	0	NA	0	-1	0	88	5
0	0	NA	0	-1	0	89	5
0	0	NA	0	-1	0	90	5
0	0	NA	0	-1	0	91	5
98	99	num.displays_01	1837.5	1	NA	92	5
0	0	NA	0	-1	1	93	5
0	0	NA	0	-1	1	94	5
0	0	NA	0	-1	0	95	5
0	0	NA	0	-1	0	96	5
0	0	NA	0	-1	0	97	5
0	0	NA	0	-1	0	98	5
0	0	NA	0	-1	0	99	5
2	3	number.total.disc_02	2.5	1	NA	1	6
4	5	num.displays_03	1737	1	NA	2	6
6	7	num.displays_04	2067	1	NA	3	6
8	9	attention.level.author_04	0.001502	1	NA	4	6
10	11	atomic.containers_07	0.5	1	NA	5	6
12	13	atomic.containers_04	23.5	1	NA	6	6
14	15	attention.level.author_03	0.007499	1	NA	7	6
16	17	attention.level.author_06	0.0011345	1	NA	8	6
18	19	num.displays_02	978.5	1	NA	9	6
20	21	num.displays_07	2638	1	NA	10	6
22	23	num.authors.topic_06	19.5	1	NA	11	6
0	0	NA	0	-1	0	12	6
0	0	NA	0	-1	0	13	6
24	25	atomic.containers_03	49.5	1	NA	14	6
26	27	attention.level.author_02	0.005037	1	NA	15	6
28	29	num.new.disc_01	1.5	1	NA	16	6
30	31	num.displays_05	628.5	1	NA	17	6
32	33	atomic.containers_07	200.5	1	NA	18	6
0	0	NA	0	-1	0	19	6
0	0	NA	0	-1	0	20	6
0	0	NA	0	-1	1	21	6
34	35	num.displays_03	14013	1	NA	22	6
0	0	NA	0	-1	0	23	6
36	37	attention.level.author_04	0.003709	1	NA	24	6
0	0	NA	0	-1	0	25	6
0	0	NA	0	-1	1	26	6
38	39	avg.auths.per.disc_01	4.8095235	1	NA	27	6
40	41	num.displays_00	1307.5	1	NA	28	6
0	0	NA	0	-1	0	29	6
42	43	num.displays_04	517.5	1	NA	30	6
44	45	num.displays_05	1711.5	1	NA	31	6
46	47	num.displays_07	1145.5	1	NA	32	6
0	0	NA	0	-1	1	33	6
48	49	num.displays_05	2984.5	1	NA	34	6
0	0	NA	0	-1	0	35	6
50	51	num.new.disc_01	0.5	1	NA	36	6
52	53	avg.auths.per.disc_02	3.1666665	1	NA	37	6
0	0	NA	0	-1	1	38	6
54	55	avg.auths.per.disc_04	2.625	1	NA	39	6
56	57	number.total.disc_01	3.5	1	NA	40	6
0	0	NA	0	-1	0	41	6
0	0	NA	0	-1	0	42	6
0	0	NA	0	-1	0	43	6
58	59	attention.level.contrib_00	0.0001355	1	NA	44	6
0	0	NA	0	-1	0	45	6
60	61	attention.level.contrib_00	0.0031705	1	NA	46	6
0	0	NA	0	-1	0	47	6
62	63	num.displays_04	3631	1	NA	48	6
64	65	contribution.sparseness_00	0.002516	1	NA	49	6
0	0	NA	0	-1	1	50	6
0	0	NA	0	-1	1	51	6
0	0	NA	0	-1	1	52	6
66	67	num.authors.topic_03	13	1	NA	53	6
0	0	NA	0	-1	0	54	6
68	69	num.authors.topic_00	121	1	NA	55	6
70	71	attention.level.author_07	0.0191085	1	NA	56	6
0	0	NA	0	-1	1	57	6
0	0	NA	0	-1	0	58	6
0	0	NA	0	-1	0	59	6
72	73	num.displays_06	172.5	1	NA	60	6
0	0	NA	0	-1	1	61	6
74	75	num.displays_07	2925.5	1	NA	62	6
0	0	NA	0	-1	0	63	6
0	0	NA	0	-1	1	64	6
76	77	auth.increase_00	1.5	1	NA	65	6
0	0	NA	0	-1	1	66	6
0	0	NA	0	-1	1	67	6
78	79	avg.auths.per.disc_06	2.2902095	1	NA	68	6
0	0	NA	0	-1	1	69	6
80	81	num.displays_04	1256.5	1	NA	70	6
0	0	NA	0	-1	1	71	6
0	0	NA	0	-1	0	72	6
0	0	NA	0	-1	0	73	6
0	0	NA	0	-1	0	74	6
0	0	NA	0	-1	1	75	6
0	0	NA	0	-1	1	76	6
0	0	NA	0	-1	1	77	6
0	0	NA	0	-1	0	78	6
82	83	contribution.sparseness_01	0.0022865	1	NA	79	6
84	85	num.displays_02	1188	1	NA	80	6
0	0	NA	0	-1	0	81	6
0	0	NA	0	-1	0	82	6
86	87	auth.increase_03	2.5	1	NA	83	6
88	89	num.authors.topic_02	5.5	1	NA	84	6
0	0	NA	0	-1	0	85	6
0	0	NA	0	-1	0	86	6
90	91	avg.disc.length_07	39.3869055	1	NA	87	6
92	93	number.total.disc_07	3.5	1	NA	88	6
0	0	NA	0	-1	0	89	6
94	95	avg.disc.length_00	41.267664	1	NA	90	6
0	0	NA	0	-1	1	91	6
96	97	num.displays_07	1871.5	1	NA	92	6
0	0	NA	0	-1	0	93	6
0	0	NA	0	-1	1	94	6
0	0	NA	0	-1	1	95	6
98	99	num.displays_01	678.5	1	NA	96	6
0	0	NA	0	-1	0	97	6
0	0	NA	0	-1	0	98	6
0	0	NA	0	-1	0	99	6
2	3	num.displays_06	2066.5	1	NA	1	7
4	5	num.displays_00	1220.5	1	NA	2	7
6	7	num.displays_05	3724.5	1	NA	3	7
8	9	num.displays_03	499	1	NA	4	7
10	11	avg.auths.per.disc_01	22.75	1	NA	5	7
12	13	num.displays_03	4819.5	1	NA	6	7
14	15	num.authors.topic_04	20.5	1	NA	7	7
16	17	atomic.containers_07	161.5	1	NA	8	7
18	19	attention.level.author_01	0.0024535	1	NA	9	7
20	21	atomic.containers_07	180.5	1	NA	10	7
0	0	NA	0	-1	1	11	7
22	23	burstiness_04	0.267857	1	NA	12	7
0	0	NA	0	-1	0	13	7
24	25	attention.level.author_06	0.0023775	1	NA	14	7
26	27	avg.auths.per.disc_01	4.404159	1	NA	15	7
28	29	num.new.disc_07	1.5	1	NA	16	7
0	0	NA	0	-1	1	17	7
30	31	num.displays_07	1805.5	1	NA	18	7
0	0	NA	0	-1	0	19	7
32	33	avg.disc.length_05	41	1	NA	20	7
0	0	NA	0	-1	1	21	7
34	35	burstiness_05	0.225	1	NA	22	7
36	37	atomic.containers_01	48	1	NA	23	7
38	39	contribution.sparseness_06	0.0181745	1	NA	24	7
40	41	avg.auths.per.disc_02	3.1964285	1	NA	25	7
0	0	NA	0	-1	1	26	7
42	43	avg.auths.per.disc_06	2.5208335	1	NA	27	7
44	45	num.displays_06	1389.5	1	NA	28	7
0	0	NA	0	-1	0	29	7
46	47	avg.auths.per.disc_05	6.75	1	NA	30	7
0	0	NA	0	-1	0	31	7
