"field_name","note","field_keys","field_values","table"
"TYPE","Type of unit","3","Noninstitutional group quarters","hus"
"ACCESS","Access to the Internet","b","N/A (GQ)","hus"
"ACCESS","Access to the Internet","1","Yes, by paying a cell phone company or Internet service provider","hus"
"ACCESS","Access to the Internet","2","Yes, without paying a cell phone company or cell phone company or Internet service provider","hus"
"ACCESS","Access to the Internet","3","No access to the Internet at this house, apartment, or mobile home","hus"
"ACR","Lot size","b","N/A (GQ/not a one-family house or mobile home)","hus"
"ACR","Lot size","1","House on less than one acre","hus"
"ACR","Lot size","2","House on one to less than ten acres","hus"
"ACR","Lot size","3","House on ten or more acres","hus"
"AGS","Sales of Agriculture Products (Yearly sales)","b","N/A (GQ/vacant/not a one family house or mobile home/less than 1 acre)","hus"
"AGS","Sales of Agriculture Products (Yearly sales)","1","None","hus"
"AGS","Sales of Agriculture Products (Yearly sales)","2","$ 1 - $ 999","hus"
"AGS","Sales of Agriculture Products (Yearly sales)","3","$ 1000 - $ 2499","hus"
"AGS","Sales of Agriculture Products (Yearly sales)","4","$ 2500 - $ 4999","hus"
"AGS","Sales of Agriculture Products (Yearly sales)","5","$ 5000 - $ 9999","hus"
"AGS","Sales of Agriculture Products (Yearly sales)","6","$10000+","hus"
"BATH","Bathtub or shower","b","N/A (GQ)","hus"
"BATH","Bathtub or shower","1","Yes","hus"
"BATH","Bathtub or shower","2","No","hus"
"BDSP","Number of bedrooms","bb","N/A (GQ)","hus"
"BDSP","Number of bedrooms","00..99","0 to 99 bedrooms (Top-coded)","hus"
"BLD","Units in structure","bb","N/A (GQ)","hus"
"BLD","Units in structure","01","Mobile home or trailer","hus"
"BLD","Units in structure","02","One-family house detached","hus"
"BLD","Units in structure","03","One-family house attached","hus"
"BLD","Units in structure","04","2 Apartments","hus"
"BLD","Units in structure","05","3-4 Apartments","hus"
"BLD","Units in structure","06","5-9 Apartments","hus"
"BLD","Units in structure","07","10-19 Apartments","hus"
"BLD","Units in structure","08","20-49 Apartments","hus"
"BLD","Units in structure","09","50 or more apartments","hus"
"BLD","Units in structure","10","Boat, RV, van, etc.","hus"
"BROADBND","Cellular data plan for a smartphone or other mobile device","b","N/A (GQ)","hus"
"BROADBND","Cellular data plan for a smartphone or other mobile device","1","Yes","hus"
"BROADBND","Cellular data plan for a smartphone or other mobile device","2","No","hus"
"COMPOTHX","Other computer equipment","b","N/A (GQ)","hus"
"COMPOTHX","Other computer equipment","1","Yes","hus"
"COMPOTHX","Other computer equipment","2","No","hus"
"CONP","Condo fee (monthly amount)","bbbb","N/A (GQ/vacant units/not owned or being bought)","hus"
"CONP","Condo fee (monthly amount)","0000","Not condo","hus"
"CONP","Condo fee (monthly amount)","0001..9999","$1 - $9999 (Rounded and top-coded)","hus"
"DIALUP","Dial-up service","b","N/A (GQ)","hus"
"DIALUP","Dial-up service","1","Yes","hus"
"DIALUP","Dial-up service","2","No","hus"
"ELEP","Electricity (monthly cost)","bbb","N/A (GQ/vacant)","hus"
"ELEP","Electricity (monthly cost)","001","Included in rent or in condo fee","hus"
"ELEP","Electricity (monthly cost)","002","No charge or electricity not used","hus"
"ELEP","Electricity (monthly cost)","003..999","$3 to $999 (Rounded and top-coded)","hus"
"FS","Yearly food stamp/Supplemental Nutrition Assistance Program recipiency","b","N/A (vacant)","hus"
"FS","Yearly food stamp/Supplemental Nutrition Assistance Program recipiency","1","Yes","hus"
"FS","Yearly food stamp/Supplemental Nutrition Assistance Program recipiency","2","No","hus"
"FULP","Fuel cost (yearly cost for fuels other than gas and electricity)","bbbb","N/A (GQ/vacant)","hus"
"FULP","Fuel cost (yearly cost for fuels other than gas and electricity)","0001","Included in rent or in condo fee","hus"
"FULP","Fuel cost (yearly cost for fuels other than gas and electricity)","0002","No charge or these fuels not used","hus"
"FULP","Fuel cost (yearly cost for fuels other than gas and electricity)","0003..9999","$3 to $9999 (Rounded and top-coded)","hus"
"GASP","Gas (monthly cost)","bbb","N/A (GQ/vacant)","hus"
"GASP","Gas (monthly cost)","001","Included in rent or in condo fee","hus"
"GASP","Gas (monthly cost)","002","Included in electricity payment","hus"
"GASP","Gas (monthly cost)","003","No charge or gas not used","hus"
"GASP","Gas (monthly cost)","004..999","$4 to $999 (Rounded and top-coded)","hus"
"HFL","House heating fuel","b","N/A (GQ/vacant)","hus"
"HFL","House heating fuel","1","Utility gas","hus"
"HFL","House heating fuel","2","Bottled, tank, or LP gas","hus"
"HFL","House heating fuel","3","Electricity","hus"
"HFL","House heating fuel","4","Fuel oil, kerosene, etc.","hus"
"HFL","House heating fuel","5","Coal or coke","hus"
"HFL","House heating fuel","6","Wood","hus"
"HFL","House heating fuel","7","Solar energy","hus"
"HFL","House heating fuel","8","Other fuel","hus"
"HFL","House heating fuel","9","No fuel used","hus"
"HISPEED","Broadband (high speed) Internet service such as cable, fiber optic, or DSL service","b","N/A (GQ)","hus"
"HISPEED","Broadband (high speed) Internet service such as cable, fiber optic, or DSL service","1","Yes","hus"
"HISPEED","Broadband (high speed) Internet service such as cable, fiber optic, or DSL service","2","No","hus"
"HOTWAT","Water heater (Puerto Rico only)","b","N/A (GQ)","hus"
"HOTWAT","Water heater (Puerto Rico only)","1","Yes","hus"
"HOTWAT","Water heater (Puerto Rico only)","2","No","hus"
"HOTWAT","Water heater (Puerto Rico only)","9","Case is from the United States, HOTWAT not applicable","hus"
"INSP","Fire/hazard/flood insurance (yearly amount)","bbbbb","N/A (GQ/vacant/not owned or being bought)","hus"
"INSP","Fire/hazard/flood insurance (yearly amount)","00000","None","hus"
"INSP","Fire/hazard/flood insurance (yearly amount)","00001..10000","$1 to $10000 (Rounded and top-coded)","hus"
"LAPTOP","Laptop or desktop","b","N/A (GQ)","hus"
"LAPTOP","Laptop or desktop","1","Yes","hus"
"LAPTOP","Laptop or desktop","2","No","hus"
"MHP","Mobile home costs (yearly amount)","bbbbb","N/A (GQ/vacant/not owned or being bought/not mobile home)","hus"
"MHP","Mobile home costs (yearly amount)","00000","None","hus"
"MHP","Mobile home costs (yearly amount)","00001..99999","$1 to $99999 (Rounded and top-coded)","hus"
"MRGI","First mortgage payment includes fire/hazard/flood insurance","b","N/A (GQ/vacant/not owned or being bought/not mortgaged)","hus"
"MRGI","First mortgage payment includes fire/hazard/flood insurance","1","Yes, insurance included in payment","hus"
"MRGI","First mortgage payment includes fire/hazard/flood insurance","2","No, insurance paid separately or no insurance","hus"
"MRGP","First mortgage payment (monthly amount)","bbbbb","N/A (GQ/vacant/not owned or being bought/not mortgaged)","hus"
"MRGP","First mortgage payment (monthly amount)","00001..99999","$1 to $99999 (Rounded and top-coded)","hus"
"MRGT","First mortgage payment includes real estate taxes","b","N/A (GQ/vacant/not owned or being bought/not mortgaged)","hus"
"MRGT","First mortgage payment includes real estate taxes","1","Yes, taxes included in payment","hus"
"MRGT","First mortgage payment includes real estate taxes","2","No, taxes paid separately or taxes not required","hus"
"MRGX","First mortgage status","b","N/A (GQ/vacant/not owned or being bought)","hus"
"MRGX","First mortgage status","1","Mortgage, deed of trust, or similar debt","hus"
"MRGX","First mortgage status","2","Contract to purchase","hus"
"MRGX","First mortgage status","3","None","hus"
"OTHSVCEX","Other Internet service","b","N/A (GQ)","hus"
"OTHSVCEX","Other Internet service","1","Yes","hus"
"OTHSVCEX","Other Internet service","2","No","hus"
"REFR","Refrigerator","b","N/A (GQ)","hus"
"REFR","Refrigerator","1","Yes","hus"
"REFR","Refrigerator","2","No","hus"
"RMSP","Number of Rooms","bb","N/A (GQ)","hus"
"RMSP","Number of Rooms","00..99","Rooms (Top-coded)","hus"
"RNTM","Meals included in rent","b","N/A (GQ/vacant units, except ""for rent"" and ""rented, not occupied""/owned or being bought /occupied without rent payment)","hus"
"RNTM","Meals included in rent","1","Yes","hus"
"RNTM","Meals included in rent","2","No","hus"
"RNTP","Monthly rent","bbbbb","N/A (GQ/vacant units, except ""for rent"" and ""rented, not occupied""/owned or being bought occupied without rent payment)","hus"
"RNTP","Monthly rent","00001..99999","$1 to $99999 (Rounded and top-coded)","hus"
"RWAT","Hot and cold running water","b","N/A (GQ)","hus"
"RWAT","Hot and cold running water","1","Yes","hus"
"RWAT","Hot and cold running water","2","No","hus"
"RWAT","Hot and cold running water","9","Case is from Puerto Rico, RWAT not applicable","hus"
"RWATPR","Running water","b","N/A (GQ)","hus"
"RWATPR","Running water","1","Yes","hus"
"RWATPR","Running water","2","No","hus"
"RWATPR","Running water","9","Case is from the United States, RWATPR not applicable","hus"
"SATELLITE","Satellite Internet service","b","N/A (GQ)","hus"
"SATELLITE","Satellite Internet service","1","Yes","hus"
"SATELLITE","Satellite Internet service","2","No","hus"
"SINK","Sink with a faucet","b","N/A (GQ)","hus"
"SINK","Sink with a faucet","1","Yes","hus"
"SINK","Sink with a faucet","2","No","hus"
"SMARTPHONE","Smartphone","b","N/A (GQ)","hus"
"SMARTPHONE","Smartphone","1","Yes","hus"
"SMARTPHONE","Smartphone","2","No","hus"
"SMP","Total payment on all second and junior mortgages and home equity loans (monthly amount)","bbbbb","N/A (GQ/vacant/not owned or being bought/no second or junior mortgages or home equity loans)","hus"
"SMP","Total payment on all second and junior mortgages and home equity loans (monthly amount)","00001..99999","$1 to $99999 (Rounded and top-coded)","hus"
"STOV","Stove or range","b","N/A (GQ)","hus"
"STOV","Stove or range","1","Yes","hus"
"STOV","Stove or range","2","No","hus"
"TABLET","Tablet or other portable wireless computer","b","N/A (GQ)","hus"
"TABLET","Tablet or other portable wireless computer","1","Yes","hus"
"TABLET","Tablet or other portable wireless computer","2","No","hus"
"TEL","Telephone service","b","N/A (GQ/vacant)","hus"
"TEL","Telephone service","1","Yes","hus"
"TEL","Telephone service","2","No","hus"
"TEL","Telephone service","8","Suppressed for data year 2016 for select PUMAs","hus"
"TEN","Tenure","b","N/A (GQ/vacant)","hus"
"TEN","Tenure","1","Owned with mortgage or loan (include home equity loans)","hus"
"TEN","Tenure","2","Owned free and clear","hus"
"TEN","Tenure","3","Rented","hus"
"TEN","Tenure","4","Occupied without payment of rent","hus"
"VACS","Vacancy status","b","N/A (GQ/occupied)","hus"
"VACS","Vacancy status","1","For rent","hus"
"VACS","Vacancy status","2","Rented, not occupied","hus"
"VACS","Vacancy status","3","For sale only","hus"
"VACS","Vacancy status","4","Sold, not occupied","hus"
"VACS","Vacancy status","5","For seasonal/recreational/occasional use","hus"
"VACS","Vacancy status","6","For migrant workers","hus"
"VACS","Vacancy status","7","Other vacant","hus"
"VALP","Property value","bbbbbbb","N/A (GQ/vacant units, except ""for-sale-only"" and ""sold, not occupied""/not owned or being bought)","hus"
"VALP","Property value","0000001..9999999","$1 to $9999999 (Rounded and top-coded)","hus"
"VEH","Vehicles (1 ton or less) available","b","N/A (GQ/vacant)","hus"
"VEH","Vehicles (1 ton or less) available","0","No vehicles","hus"
"VEH","Vehicles (1 ton or less) available","1","1 vehicle","hus"
"VEH","Vehicles (1 ton or less) available","2","2 vehicles","hus"
"VEH","Vehicles (1 ton or less) available","3","3 vehicles","hus"
"VEH","Vehicles (1 ton or less) available","4","4 vehicles","hus"
"VEH","Vehicles (1 ton or less) available","5","5 vehicles","hus"
"VEH","Vehicles (1 ton or less) available","6","6 or more vehicles","hus"
"WATP","Water (yearly cost)","bbbb","N/A (GQ/vacant)","hus"
"WATP","Water (yearly cost)","0001","Included in rent or in condo fee","hus"
"WATP","Water (yearly cost)","0002","No charge","hus"
"WATP","Water (yearly cost)","0003..9999","$3 to $9999 (Rounded and top-coded)","hus"
"YBL","When structure first built","bb","N/A (GQ)","hus"
"YBL","When structure first built","01","1939 or earlier","hus"
"YBL","When structure first built","02","1940 to 1949","hus"
"YBL","When structure first built","03","1950 to 1959","hus"
"YBL","When structure first built","04","1960 to 1969","hus"
"YBL","When structure first built","05","1970 to 1979","hus"
"YBL","When structure first built","06","1980 to 1989","hus"
"YBL","When structure first built","07","1990 to 1999","hus"
"YBL","When structure first built","08","2000 to 2004","hus"
"YBL","When structure first built","09","2005","hus"
"YBL","When structure first built","10","2006","hus"
"YBL","When structure first built","11","2007","hus"
"YBL","When structure first built","12","2008","hus"
"YBL","When structure first built","13","2009","hus"
"YBL","When structure first built","14","2010","hus"
"YBL","When structure first built","15","2011","hus"
"YBL","When structure first built","16","2012","hus"
"YBL","When structure first built","17","2013","hus"
"YBL","When structure first built","18","2014","hus"
"YBL","When structure first built","19","2015","hus"
"YBL","When structure first built","20","2016","hus"
"FES","Family type and employment status","b","N/A (GQ/vacant/not a family/same-sex married-couple families)","hus"
"FES","Family type and employment status","1","Married-couple family: Husband and wife in LF","hus"
"FES","Family type and employment status","2","Married-couple family: Husband in labor force, wife.not in LF","hus"
"FES","Family type and employment status","3","Married-couple family: Husband not in LF,wife in LF","hus"
"FES","Family type and employment status","4","Married-couple family: Neither husband nor wife in LF","hus"
"FES","Family type and employment status","5","Other family: Male householder, no wife present, in LF","hus"
"FES","Family type and employment status","6","Other family: Male householder, no wife present, not in LF","hus"
"FES","Family type and employment status","7","Other family: Female householder, no husband present, in LF","hus"
"FES","Family type and employment status","8","Other family: Female householder, no husband present, not in LF","hus"
"FINCP","Family income (past 12 months)","bbbbbbbbb","N/A(GQ/vacant)","hus"
"FINCP","Family income (past 12 months)","000000000","No family income","hus"
"FINCP","Family income (past 12 months)","-00059999","Loss of -$59,999 or more","hus"
"FINCP","Family income (past 12 months)","-00000001..-00059998","Loss of $1 to -$59,998","hus"
"FINCP","Family income (past 12 months)","000000001","$1 or Break even","hus"
"FINCP","Family income (past 12 months)","000000002..999999999","Total family income in dollars (Components are rounded)","hus"
"FPARC","Family presence and age of related children","b","N/A (GQ/vacant/not a family)","hus"
"FPARC","Family presence and age of related children","1","With related children under 5 years only","hus"
"FPARC","Family presence and age of related children","2","With related children 5 to 17 years only","hus"
"FPARC","Family presence and age of related children","3","With related children under 5 years and 5 to 17 years","hus"
"FPARC","Family presence and age of related children","4","No related children","hus"
"GRNTP","Gross rent (monthly amount)","bbbbb","N/A (GQ/vacant/owned or being boughtrent payment)","hus"
"GRNTP","Gross rent (monthly amount)","00001..99999","$1 - $99999 (Components are rounded)","hus"
"GRPIP","Gross rent as a percentage of household income past 12 months","bbb","N/A (GQ/vacant/owned or being bought/occupied without rent payment/no household income)","hus"
"GRPIP","Gross rent as a percentage of household income past 12 months","001..100","1% to 100%","hus"
"GRPIP","Gross rent as a percentage of household income past 12 months","101","101% or more","hus"
"HHL","Household language","b","N/A (GQ/vacant)","hus"
"HHL","Household language","1","English only","hus"
"HHL","Household language","2","Spanish","hus"
"HHL","Household language","3","Other Indo-European languages","hus"
"HHL","Household language","4","Asian and Pacific Island languages","hus"
"HHL","Household language","5","Other language","hus"
"HHLANP","Detailed household language","bbbb","N/A (GQ/vacant)","hus"
"HHLANP","Detailed household language","1000","Jamaican Creole English","hus"
"HHLANP","Detailed household language","1025","Other English-based Creole languages","hus"
"HHLANP","Detailed household language","1055","Haitian","hus"
"HHLANP","Detailed household language","1069","Kabuverdianu","hus"
"HHLANP","Detailed household language","1110","German","hus"
"HHLANP","Detailed household language","1120","Swiss German","hus"
"HHLANP","Detailed household language","1125","Pennsylvania German","hus"
"HHLANP","Detailed household language","1130","Yiddish","hus"
"HHLANP","Detailed household language","1132","Dutch","hus"
"HHLANP","Detailed household language","1134","Afrikaans","hus"
"HHLANP","Detailed household language","1140","Swedish","hus"
"HHLANP","Detailed household language","1141","Danish","hus"
"HHLANP","Detailed household language","1142","Norwegian","hus"
"HHLANP","Detailed household language","1155","Italian","hus"
"HHLANP","Detailed household language","1170","French","hus"
"HHLANP","Detailed household language","1175","Cajun French","hus"
"HHLANP","Detailed household language","1200","Spanish","hus"
"HHLANP","Detailed household language","1210","Portuguese","hus"
"HHLANP","Detailed household language","1220","Romanian","hus"
"HHLANP","Detailed household language","1231","Irish","hus"
"HHLANP","Detailed household language","1235","Greek","hus"
"HHLANP","Detailed household language","1242","Albanian","hus"
"HHLANP","Detailed household language","1250","Russian","hus"
"HHLANP","Detailed household language","1260","Ukrainian","hus"
"HHLANP","Detailed household language","1262","Czech","hus"
"HHLANP","Detailed household language","1263","Slovak","hus"
"HHLANP","Detailed household language","1270","Polish","hus"
"HHLANP","Detailed household language","1273","Bulgarian","hus"
"HHLANP","Detailed household language","1274","Macedonian","hus"
"HHLANP","Detailed household language","1275","Serbocroatian","hus"
"HHLANP","Detailed household language","1276","Bosnian","hus"
"HHLANP","Detailed household language","1277","Croatian","hus"
"HHLANP","Detailed household language","1278","Serbian","hus"
"HHLANP","Detailed household language","1281","Lithuanian","hus"
"HHLANP","Detailed household language","1283","Latvian","hus"
"HHLANP","Detailed household language","1288","Armenian","hus"
"HHLANP","Detailed household language","1290","Farsi","hus"
"HHLANP","Detailed household language","1292","Dari","hus"
"HHLANP","Detailed household language","1315","Kurdish","hus"
"HHLANP","Detailed household language","1327","Pashto","hus"
"HHLANP","Detailed household language","1340","India N.E.C.","hus"
"HHLANP","Detailed household language","1350","Hindi","hus"
"HHLANP","Detailed household language","1360","Urdu","hus"
"HHLANP","Detailed household language","1380","Bengali","hus"
"HHLANP","Detailed household language","1420","Punjabi","hus"
"HHLANP","Detailed household language","1435","Konkani","hus"
"HHLANP","Detailed household language","1440","Marathi","hus"
"HHLANP","Detailed household language","1450","Gujarati","hus"
"HHLANP","Detailed household language","1500","Nepali","hus"
"HHLANP","Detailed household language","1525","Pakistan N.E.C.","hus"
"HHLANP","Detailed household language","1530","Sinhala","hus"
"HHLANP","Detailed household language","1540","Other Indo-Iranian languages","hus"
"HHLANP","Detailed household language","1564","Other Indo-European languages","hus"
"HHLANP","Detailed household language","1565","Finnish","hus"
"HHLANP","Detailed household language","1582","Hungarian","hus"
"HHLANP","Detailed household language","1675","Turkish","hus"
"HHLANP","Detailed household language","1690","Mongolian","hus"
"HHLANP","Detailed household language","1730","Telugu","hus"
"HHLANP","Detailed household language","1737","Kannada","hus"
"HHLANP","Detailed household language","1750","Malayalam","hus"
"HHLANP","Detailed household language","1765","Tamil","hus"
"HHLANP","Detailed household language","1900","Khmer","hus"
"HHLANP","Detailed household language","1960","Vietnamese","hus"
"HHLANP","Detailed household language","1970","Chinese","hus"
"HHLANP","Detailed household language","2000","Mandarin","hus"
"HHLANP","Detailed household language","2030","Min Nan Chinese","hus"
"HHLANP","Detailed household language","2050","Cantonese","hus"
"HHLANP","Detailed household language","2100","Tibetan","hus"
"HHLANP","Detailed household language","2160","Burmese","hus"
"HHLANP","Detailed household language","2270","Chin languages","hus"
"HHLANP","Detailed household language","2350","Karen languages","hus"
"HHLANP","Detailed household language","2430","Thai","hus"
"HHLANP","Detailed household language","2475","Lao","hus"
"HHLANP","Detailed household language","2525","Iu Mien","hus"
"HHLANP","Detailed household language","2535","Hmong","hus"
"HHLANP","Detailed household language","2560","Japanese","hus"
"HHLANP","Detailed household language","2575","Korean","hus"
"HHLANP","Detailed household language","2715","Malay","hus"
"HHLANP","Detailed household language","2770","Indonesian","hus"
"HHLANP","Detailed household language","2850","Other languages of Asia","hus"
"HHLANP","Detailed household language","2910","Filipino","hus"
"HHLANP","Detailed household language","2920","Tagalog","hus"
"HHLANP","Detailed household language","2950","Cebuano","hus"
"HHLANP","Detailed household language","3150","Ilocano","hus"
"HHLANP","Detailed household language","3190","Other Philippine languages","hus"
"HHLANP","Detailed household language","3220","Chamorro","hus"
"HHLANP","Detailed household language","3270","Marshallese","hus"
"HHLANP","Detailed household language","3350","Chuukese","hus"
"HHLANP","Detailed household language","3420","Samoan","hus"
"HHLANP","Detailed household language","3500","Tongan","hus"
"HHLANP","Detailed household language","3570","Hawaiian","hus"
"HHLANP","Detailed household language","3600","Other Eastern Malayo-Polynesian languages","hus"
"HHLANP","Detailed household language","4500","Arabic","hus"
"HHLANP","Detailed household language","4545","Hebrew","hus"
"HHLANP","Detailed household language","4560","Assyrian Neo-Aramaic","hus"
"HHLANP","Detailed household language","4565","Chaldean Neo-Aramaic","hus"
"HHLANP","Detailed household language","4590","Amharic","hus"
"HHLANP","Detailed household language","4640","Tigrinya","hus"
"HHLANP","Detailed household language","4830","Oromo","hus"
"HHLANP","Detailed household language","4840","Somali","hus"
"HHLANP","Detailed household language","4880","Other Afro-Asiatic languages","hus"
"HHLANP","Detailed household language","4900","Nilo-Saharan languages","hus"
"HHLANP","Detailed household language","5150","Swahili","hus"
"HHLANP","Detailed household language","5345","Ganda","hus"
"HHLANP","Detailed household language","5525","Shona","hus"
"HHLANP","Detailed household language","5645","Other Bantu languages","hus"
"HHLANP","Detailed household language","5845","Manding languages","hus"
"HHLANP","Detailed household language","5900","Other Mande languages","hus"
"HHLANP","Detailed household language","5940","Fulah","hus"
"HHLANP","Detailed household language","5950","Wolof","hus"
"HHLANP","Detailed household language","6120","Akan (incl. Twi)","hus"
"HHLANP","Detailed household language","6205","Ga","hus"
"HHLANP","Detailed household language","6230","Gbe languages","hus"
"HHLANP","Detailed household language","6290","Yoruba","hus"
"HHLANP","Detailed household language","6300","Edoid languages","hus"
"HHLANP","Detailed household language","6370","Igbo","hus"
"HHLANP","Detailed household language","6500","Other Niger-Congo languages","hus"
"HHLANP","Detailed household language","6795","Other languages of Africa","hus"
"HHLANP","Detailed household language","6800","Aleut languages","hus"
"HHLANP","Detailed household language","6839","Ojibwa","hus"
"HHLANP","Detailed household language","6930","Apache languages","hus"
"HHLANP","Detailed household language","6933","Navajo","hus"
"HHLANP","Detailed household language","6936","Kiowa-Tanoan languages","hus"
"HHLANP","Detailed household language","7019","Dakota languages","hus"
"HHLANP","Detailed household language","7032","Muskogean languages","hus"
"HHLANP","Detailed household language","7039","Keres","hus"
"HHLANP","Detailed household language","7050","Cherokee","hus"
"HHLANP","Detailed household language","7059","Zuni","hus"
"HHLANP","Detailed household language","7060","Uto-Aztecan languages","hus"
"HHLANP","Detailed household language","7124","Other Native North American languages","hus"
"HHLANP","Detailed household language","7300","Other Central and South American languages","hus"
"HHLANP","Detailed household language","9500","English only household","hus"
"HHLANP","Detailed household language","9999","Other and unspecified languages","hus"
"HHT","Household/family type","b","N/A (GQ/vacant)","hus"
"HHT","Household/family type","1","Married couple household","hus"
"HHT","Household/family type","2","Other family household:Male householder, no wife present","hus"
"HHT","Household/family type","3","Other family household:Female householder, no husband present","hus"
"HHT","Household/family type","4","Nonfamily household:Male householder:Living alone","hus"
